employee,year_month,monthly_score,message_count,employee_name
johnny.palmer@enron.com,2010-03,3,11,Johnny Palmer
johnny.palmer@enron.com,2010-04,4,8,Johnny Palmer
johnny.palmer@enron.com,2010-05,0,1,Johnny Palmer
johnny.palmer@enron.com,2010-06,5,10,Johnny Palmer
johnny.palmer@enron.com,2010-07,0,4,Johnny Palmer
johnny.palmer@enron.com,2010-08,3,8,Johnny Palmer
johnny.palmer@enron.com,2010-09,4,12,Johnny Palmer
johnny.palmer@enron.com,2010-10,5,15,Johnny Palmer
johnny.palmer@enron.com,2010-11,1,1,Johnny Palmer
johnny.palmer@enron.com,2010-12,0,1,Johnny Palmer
johnny.palmer@enron.com,2011-01,5,12,Johnny Palmer
johnny.palmer@enron.com,2011-02,2,17,Johnny Palmer
johnny.palmer@enron.com,2011-03,0,1,Johnny Palmer
johnny.palmer@enron.com,2011-04,9,16,Johnny Palmer
johnny.palmer@enron.com,2011-05,2,6,Johnny Palmer
johnny.palmer@enron.com,2011-06,15,18,Johnny Palmer
johnny.palmer@enron.com,2011-07,5,12,Johnny Palmer
johnny.palmer@enron.com,2011-08,5,15,Johnny Palmer
johnny.palmer@enron.com,2011-09,3,9,Johnny Palmer
johnny.palmer@enron.com,2011-10,0,2,Johnny Palmer
johnny.palmer@enron.com,2011-11,2,7,Johnny Palmer
johnny.palmer@enron.com,2011-12,1,3,Johnny Palmer
kayne.coulter@enron.com,2010-01,5,22,Kayne Coulter
kayne.coulter@enron.com,2010-02,1,8,Kayne Coulter
kayne.coulter@enron.com,2010-03,1,4,Kayne Coulter
kayne.coulter@enron.com,2010-04,3,16,Kayne Coulter
kayne.coulter@enron.com,2010-05,2,4,Kayne Coulter
kayne.coulter@enron.com,2010-06,0,4,Kayne Coulter
kayne.coulter@enron.com,2010-07,2,6,Kayne Coulter
kayne.coulter@enron.com,2010-08,4,7,Kayne Coulter
kayne.coulter@enron.com,2010-09,1,2,Kayne Coulter
kayne.coulter@enron.com,2010-10,1,3,Kayne Coulter
kayne.coulter@enron.com,2010-11,3,5,Kayne Coulter
kayne.coulter@enron.com,2010-12,1,6,Kayne Coulter
kayne.coulter@enron.com,2011-01,0,5,Kayne Coulter
kayne.coulter@enron.com,2011-02,4,10,Kayne Coulter
kayne.coulter@enron.com,2011-03,2,4,Kayne Coulter
kayne.coulter@enron.com,2011-04,2,9,Kayne Coulter
kayne.coulter@enron.com,2011-05,1,1,Kayne Coulter
kayne.coulter@enron.com,2011-06,0,1,Kayne Coulter
kayne.coulter@enron.com,2011-07,0,1,Kayne Coulter
kayne.coulter@enron.com,2011-08,0,1,Kayne Coulter
kayne.coulter@enron.com,2011-09,10,13,Kayne Coulter
kayne.coulter@enron.com,2011-10,6,17,Kayne Coulter
kayne.coulter@enron.com,2011-11,7,16,Kayne Coulter
kayne.coulter@enron.com,2011-12,5,9,Kayne Coulter
lydia.delgado@enron.com,2010-01,3,13,Lydia Delgado
lydia.delgado@enron.com,2010-02,1,1,Lydia Delgado
lydia.delgado@enron.com,2010-03,8,11,Lydia Delgado
lydia.delgado@enron.com,2010-04,2,12,Lydia Delgado
lydia.delgado@enron.com,2010-05,4,8,Lydia Delgado
lydia.delgado@enron.com,2010-06,0,11,Lydia Delgado
lydia.delgado@enron.com,2010-07,9,18,Lydia Delgado
lydia.delgado@enron.com,2010-08,3,10,Lydia Delgado
lydia.delgado@enron.com,2010-09,1,5,Lydia Delgado
lydia.delgado@enron.com,2010-10,7,20,Lydia Delgado
lydia.delgado@enron.com,2010-11,5,11,Lydia Delgado
lydia.delgado@enron.com,2010-12,5,13,Lydia Delgado
lydia.delgado@enron.com,2011-01,3,6,Lydia Delgado
lydia.delgado@enron.com,2011-02,6,21,Lydia Delgado
lydia.delgado@enron.com,2011-03,7,7,Lydia Delgado
lydia.delgado@enron.com,2011-04,6,20,Lydia Delgado
lydia.delgado@enron.com,2011-05,9,25,Lydia Delgado
lydia.delgado@enron.com,2011-06,4,6,Lydia Delgado
lydia.delgado@enron.com,2011-07,0,1,Lydia Delgado
lydia.delgado@enron.com,2011-08,7,14,Lydia Delgado
lydia.delgado@enron.com,2011-09,4,7,Lydia Delgado
lydia.delgado@enron.com,2011-10,6,20,Lydia Delgado
lydia.delgado@enron.com,2011-11,1,7,Lydia Delgado
lydia.delgado@enron.com,2011-12,0,17,Lydia Delgado
patti.thompson@enron.com,2010-01,5,10,Patti Thompson
patti.thompson@enron.com,2010-02,1,1,Patti Thompson
patti.thompson@enron.com,2010-03,1,8,Patti Thompson
patti.thompson@enron.com,2010-04,2,11,Patti Thompson
patti.thompson@enron.com,2010-05,7,16,Patti Thompson
patti.thompson@enron.com,2010-06,5,12,Patti Thompson
patti.thompson@enron.com,2010-07,1,2,Patti Thompson
patti.thompson@enron.com,2010-08,1,1,Patti Thompson
patti.thompson@enron.com,2010-09,6,10,Patti Thompson
patti.thompson@enron.com,2010-10,3,17,Patti Thompson
patti.thompson@enron.com,2010-11,3,12,Patti Thompson
patti.thompson@enron.com,2010-12,1,1,Patti Thompson
patti.thompson@enron.com,2011-01,1,6,Patti Thompson
patti.thompson@enron.com,2011-02,2,3,Patti Thompson
patti.thompson@enron.com,2011-03,2,17,Patti Thompson
patti.thompson@enron.com,2011-04,2,7,Patti Thompson
patti.thompson@enron.com,2011-05,-1,1,Patti Thompson
patti.thompson@enron.com,2011-06,2,9,Patti Thompson
patti.thompson@enron.com,2011-07,11,27,Patti Thompson
patti.thompson@enron.com,2011-08,2,12,Patti Thompson
patti.thompson@enron.com,2011-09,4,11,Patti Thompson
patti.thompson@enron.com,2011-10,3,6,Patti Thompson
patti.thompson@enron.com,2011-11,9,13,Patti Thompson
patti.thompson@enron.com,2011-12,5,12,Patti Thompson
rhonda.denton@enron.com,2010-01,0,3,Rhonda Denton
rhonda.denton@enron.com,2010-02,3,6,Rhonda Denton
rhonda.denton@enron.com,2010-03,0,1,Rhonda Denton
rhonda.denton@enron.com,2010-04,3,11,Rhonda Denton
rhonda.denton@enron.com,2010-05,4,6,Rhonda Denton
rhonda.denton@enron.com,2010-06,1,4,Rhonda Denton
rhonda.denton@enron.com,2010-07,0,3,Rhonda Denton
rhonda.denton@enron.com,2010-08,2,17,Rhonda Denton
rhonda.denton@enron.com,2010-09,4,5,Rhonda Denton
rhonda.denton@enron.com,2010-10,1,2,Rhonda Denton
rhonda.denton@enron.com,2010-11,0,9,Rhonda Denton
rhonda.denton@enron.com,2010-12,0,10,Rhonda Denton
rhonda.denton@enron.com,2011-01,4,11,Rhonda Denton
rhonda.denton@enron.com,2011-02,0,9,Rhonda Denton
rhonda.denton@enron.com,2011-03,6,14,Rhonda Denton
rhonda.denton@enron.com,2011-04,2,6,Rhonda Denton
rhonda.denton@enron.com,2011-05,5,10,Rhonda Denton
rhonda.denton@enron.com,2011-06,1,12,Rhonda Denton
rhonda.denton@enron.com,2011-07,1,4,Rhonda Denton
rhonda.denton@enron.com,2011-08,1,1,Rhonda Denton
rhonda.denton@enron.com,2011-09,7,10,Rhonda Denton
rhonda.denton@enron.com,2011-10,0,2,Rhonda Denton
rhonda.denton@enron.com,2011-11,1,5,Rhonda Denton
rhonda.denton@enron.com,2011-12,4,11,Rhonda Denton
sally.beck@enron.com,2010-01,4,9,Sally Beck
sally.beck@enron.com,2010-02,0,6,Sally Beck
sally.beck@enron.com,2010-03,8,12,Sally Beck
sally.beck@enron.com,2010-04,3,6,Sally Beck
sally.beck@enron.com,2010-05,6,12,Sally Beck
sally.beck@enron.com,2010-06,4,13,Sally Beck
sally.beck@enron.com,2010-07,1,14,Sally Beck
sally.beck@enron.com,2010-08,13,25,Sally Beck
sally.beck@enron.com,2010-09,3,7,Sally Beck
sally.beck@enron.com,2010-10,0,7,Sally Beck
sally.beck@enron.com,2010-11,3,12,Sally Beck
sally.beck@enron.com,2010-12,5,11,Sally Beck
sally.beck@enron.com,2011-01,6,10,Sally Beck
sally.beck@enron.com,2011-02,1,6,Sally Beck
sally.beck@enron.com,2011-03,-2,12,Sally Beck
sally.beck@enron.com,2011-04,1,1,Sally Beck
sally.beck@enron.com,2011-05,3,9,Sally Beck
sally.beck@enron.com,2011-06,2,2,Sally Beck
sally.beck@enron.com,2011-07,10,14,Sally Beck
sally.beck@enron.com,2011-08,6,14,Sally Beck
sally.beck@enron.com,2011-09,1,1,Sally Beck
sally.beck@enron.com,2011-10,4,7,Sally Beck
sally.beck@enron.com,2011-11,4,8,Sally Beck
sally.beck@enron.com,2011-12,3,9,Sally Beck
